"Student_Name","Test_Case_1 (15)","Test_Case_2 (15)","Test_Case_3 (15)","Code_1 (30)","Code_2 (25)","Code_3 (-5)","Code_4 (-5)","Total_Marks (100)","Comments"
21ME10100,0,0,0,5,0,0,0,5,"Only headers present in the file!!!!========= TEST CASES =========!!!!FAILED: Code didn't compile successfully - Mark/s obtained: 0 out of 45!!!!========= CODE CASES =========!!!!FAILED: Code Case 1:- Logic is correct and gives expected output - Mark/s obtained: 5 out of 30!!FAILED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s obtained: 0 out of 25!!!!==============================!!!!############ TOTAL MARKS OBTAINED = 5 ############"
21ME10005,15,15,15,30,25,0,0,100,"Nice work!!!!========= TEST CASES =========!!!!PASSED: Test Case 1: {Input: Machines=11, Day=1}!!{Output: Cars=11} - Mark/s : 15!!PASSED: Test Case 2: {Input: Machines=11, Day=3, Inspection=5}!!{Output: Cars=11} - Mark/s : 15!!PASSED: Test Case 3: {Input: Machines=11, Day=4, Boosting=0.33}!!{Output: Cars=15} - Mark/s : 15!!!!========= CODE CASES =========!!!!PASSED: Code Case 1:- Logic is correct and gives expected output - Mark/s : 30!!PASSED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s : 25!!!!==============================!!!!########### TOTAL MARKS OBTAINED = 100 ###########"
21ME30015,0,0,0,0,0,0,0,0,"A file was not submitted properly - Mark/s lost: 100 out of 100!!!!==============================!!!!############ TOTAL MARKS OBTAINED = 0 ############"
21MA10017,0,0,0,10,10,0,0,20,"========= TEST CASES =========!!!!FAILED: Code didn't compile successfully - Mark/s obtained: 0 out of 45!!!!========= CODE CASES =========!!!!FAILED: Code Case 1:- Logic is correct and gives expected output - Mark/s obtained: 10 out of 30!!FAILED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s obtained: 10 out of 25!!!!==============================!!!!########### TOTAL MARKS OBTAINED = 20 ############"
21IM10011,0,0,0,0,0,0,0,0,"A file was not submitted properly - Mark/s lost: 100 out of 100!!!!==============================!!!!############ TOTAL MARKS OBTAINED = 0 ############"
21ME10024,15,15,15,30,25,0,0,100,"Keep it up!!!!========= TEST CASES =========!!!!PASSED: Test Case 1: {Input: Machines=11, Day=1}!!{Output: Cars=11} - Mark/s : 15!!PASSED: Test Case 2: {Input: Machines=11, Day=3, Inspection=5}!!{Output: Cars=11} - Mark/s : 15!!PASSED: Test Case 3: {Input: Machines=11, Day=4, Boosting=0.33}!!{Output: Cars=15} - Mark/s : 15!!!!========= CODE CASES =========!!!!PASSED: Code Case 1:- Logic is correct and gives expected output - Mark/s : 30!!PASSED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s : 25!!!!==============================!!!!########### TOTAL MARKS OBTAINED = 100 ###########"
21IM30007,0,0,0,20,20,0,0,40,"========= TEST CASES =========!!!!FAILED: Test Case 1: {Input: Machines=11, Day=1}!!{Output: Cars=11} - Mark/s obtained: 0 out of 15!!FAILED: Test Case 2: {Input: Machines=11, Day=3, Inspection=5}!!{Output: Cars=11} - Mark/s obtained: 0 out of 15!!FAILED: Test Case 3: {Input: Machines=11, Day=4, Boosting=0.33}!!{Output: Cars=15} - Mark/s obtained: 0 out of 15!!!!========= CODE CASES =========!!!!FAILED: Code Case 1:- Logic is correct and gives expected output - Mark/s obtained: 20 out of 30!!FAILED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s obtained: 20 out of 25!!!!==============================!!!!########### TOTAL MARKS OBTAINED = 40 ############"
21ME10043,15,15,15,30,25,0,0,100,"Always take input in the order mentioned in the question, as another program checks your program, and you may lose 50% marks in test cases.!!!!========= TEST CASES =========!!!!PASSED: Test Case 1: {Input: Machines=11, Day=1}!!{Output: Cars=11} - Mark/s : 15!!PASSED: Test Case 2: {Input: Machines=11, Day=3, Inspection=5}!!{Output: Cars=11} - Mark/s : 15!!PASSED: Test Case 3: {Input: Machines=11, Day=4, Boosting=0.33}!!{Output: Cars=15} - Mark/s : 15!!!!========= CODE CASES =========!!!!PASSED: Code Case 1:- Logic is correct and gives expected output - Mark/s : 30!!PASSED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s : 25!!!!==============================!!!!########### TOTAL MARKS OBTAINED = 100 ###########"
21MA10036,15,15,15,30,25,0,0,100,"Great Job!!!!========= TEST CASES =========!!!!PASSED: Test Case 1: {Input: Machines=11, Day=1}!!{Output: Cars=11} - Mark/s : 15!!PASSED: Test Case 2: {Input: Machines=11, Day=3, Inspection=5}!!{Output: Cars=11} - Mark/s : 15!!PASSED: Test Case 3: {Input: Machines=11, Day=4, Boosting=0.33}!!{Output: Cars=15} - Mark/s : 15!!!!========= CODE CASES =========!!!!PASSED: Code Case 1:- Logic is correct and gives expected output - Mark/s : 30!!PASSED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s : 25!!!!==============================!!!!########### TOTAL MARKS OBTAINED = 100 ###########"
21ME10062,15,15,0,25,25,0,0,80,"========= TEST CASES =========!!!!PASSED: Test Case 1: {Input: Machines=11, Day=1}!!{Output: Cars=11} - Mark/s : 15!!PASSED: Test Case 2: {Input: Machines=11, Day=3, Inspection=5}!!{Output: Cars=11} - Mark/s : 15!!FAILED: Test Case 3: {Input: Machines=11, Day=4, Boosting=0.33}!!{Output: Cars=15} - Mark/s obtained: 0 out of 15!!!!========= CODE CASES =========!!!!FAILED: Code Case 1:- Logic is correct and gives expected output - Mark/s obtained: 25 out of 30!!PASSED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s : 25!!!!==============================!!!!########### TOTAL MARKS OBTAINED = 80 ############"
21IM10030,15,15,15,30,25,0,0,100,"Always take input in the order mentioned in the question, as another program checks your program, and you may lose 50% marks in test cases.!!!!========= TEST CASES =========!!!!PASSED: Test Case 1: {Input: Machines=11, Day=1}!!{Output: Cars=11} - Mark/s : 15!!PASSED: Test Case 2: {Input: Machines=11, Day=3, Inspection=5}!!{Output: Cars=11} - Mark/s : 15!!PASSED: Test Case 3: {Input: Machines=11, Day=4, Boosting=0.33}!!{Output: Cars=15} - Mark/s : 15!!!!========= CODE CASES =========!!!!PASSED: Code Case 1:- Logic is correct and gives expected output - Mark/s : 30!!PASSED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s : 25!!!!==============================!!!!########### TOTAL MARKS OBTAINED = 100 ###########"
