"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Code_1 (20)";"Code_2 (20)";"Code_3 (20)";"Total_Marks (100)";"Comments"
21CS30010;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21CS10078;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG30008;0;0;0;0;10;0;0;10;Code didn't compile but marks for effort are given please be cautious from next time~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~reading the numbers and computing the bin limits~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Code Case 2:~~creating and printing bins~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 3:~~counting the number of elements in each bin~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 10 ############
22AG10021;0;0;0;0;10;0;0;10;Code didn't compile but marks for effort are given please be cautious from next time~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~reading the numbers and computing the bin limits~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Code Case 2:~~creating and printing bins~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 3:~~counting the number of elements in each bin~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 10 ############
22CS10049;10;10;10;10;20;20;20;100;Keep it up~~~~========= TEST CASES =========~~~~~~Your output:~~Enter number of elements in the array = Enter the n values now:~~Enter number of bins you wish to have= bin1 --> 3, 9, 11, 4, Elems = 4~~bin2 --> 12, 20, 17, 19, Elems = 4~~bin3 --> 29, 26, Elems = 2~~~~~~Your output:~~Enter number of elements in the array = Enter the n values now:~~Enter number of bins you wish to have= bin1 --> 1, 2, 3, Elems = 3~~bin2 --> 4, 5, 6, Elems = 3~~bin3 --> 7, 8, 9, 10, Elems = 4~~~~~~Your output:~~Enter number of elements in the array = Enter the n values now:~~Enter number of bins you wish to have= bin1 --> 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, Elems = 10~~~~~~Your output:~~Enter number of elements in the array = Enter the n values now:~~Enter number of bins you wish to have= bin1 --> 1, Elems = 1~~bin2 --> 2, Elems = 1~~bin3 --> 3, Elems = 1~~bin4 --> 4, Elems = 1~~bin5 --> 5, Elems = 1~~bin6 --> 6, Elems = 1~~bin7 --> 7, Elems = 1~~bin8 --> 8, Elems = 1~~bin9 --> 9, Elems = 1~~bin10 --> 10, Elems = 1~~~~~~========= CODE CASES =========~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22MT10042;0;0;0;0;10;0;0;10;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~reading the numbers and computing the bin limits~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Code Case 2:~~creating and printing bins~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 3:~~counting the number of elements in each bin~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 10 ############
22CS10009;0;0;0;0;10;20;20;50;NO LOGIC~~~~========= TEST CASES =========~~~~~~Your output:~~Enter the no of inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~12292039112617419~~~~FAILED: Test Case 1: ~~~~INPUT:~~Enter the numner of array elements: 10~~Enter the array elements: 12, 29, 20, 3, 9, 11, 26, 17, 4, 19~~Enter the number of bins: 3~~~~OUTPUT:~~bin1-> 3, 9, 11, 4    Number of elements in bin1 = 4~~bin2-> 12, 20, 17, 19   Number of elements in bin2 = 4~~bin3-> 29, 26    Number of elements in bin3 = 2~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the no of inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~12345678910~~~~FAILED: Test Case 2: ~~~~INPUT:~~Enter the numner of array elements: 10~~Enter the array elements: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10~~Enter the number of bins: 3~~~~OUTPUT:~~bin1-> 1, 2, 3   Number of elements in bin1 = 3~~bin2-> 4, 5, 6   Number of elements in bin2 = 3~~bin3-> 7, 8, 9, 10    Number of elements in bin3 = 4~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the no of inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~12345678910~~~~FAILED: Test Case 3: ~~ INPUT:~~Enter the numner of array elements: 10~~Enter the array elements: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10~~Enter the number of bins: 1~~~~OUTPUT:~~bin1-> 1, 2, 3, 4, 5, 6, 7, 8, 9, 10  Number of elements in bin1 = 10~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the no of inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~Enter the inputs:~~12345678910~~~~FAILED: Test Case 4: ~~ INPUT:~~Enter the numner of array elements: 10~~Enter the array elements: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10~~Enter the number of bins: 10~~~~OUTPUT:~~{10 bins with one element each}~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~reading the numbers and computing the bin limits~~  Mark/s obtained: 10 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 50 ############
22IM30014;2;2;10;2;15;15;10;56;Computed only for single bin you have to compute for all the bins~~~~========= TEST CASES =========~~~~~~Your output:~~N = A[N] =  Bins = bin1:> 3,9,11,4,      element = 4~~~~FAILED: Test Case 1: ~~~~INPUT:~~Enter the numner of array elements: 10~~Enter the array elements: 12, 29, 20, 3, 9, 11, 26, 17, 4, 19~~Enter the number of bins: 3~~~~OUTPUT:~~bin1-> 3, 9, 11, 4    Number of elements in bin1 = 4~~bin2-> 12, 20, 17, 19   Number of elements in bin2 = 4~~bin3-> 29, 26    Number of elements in bin3 = 2~~~~ ~~  Mark/s obtained: 2 out of 10~~~~~~Your output:~~N = A[N] =  Bins = bin1:> 1,2,3,      element = 3~~~~FAILED: Test Case 2: ~~~~INPUT:~~Enter the numner of array elements: 10~~Enter the array elements: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10~~Enter the number of bins: 3~~~~OUTPUT:~~bin1-> 1, 2, 3   Number of elements in bin1 = 3~~bin2-> 4, 5, 6   Number of elements in bin2 = 3~~bin3-> 7, 8, 9, 10    Number of elements in bin3 = 4~~~~ ~~  Mark/s obtained: 2 out of 10~~~~~~Your output:~~N = A[N] =  Bins = bin1:> 1,2,3,4,5,6,7,8,9,10,      element = 10~~~~Your output:~~N = A[N] =  Bins = bin1:> 1,      element = 1~~~~FAILED: Test Case 4: ~~ INPUT:~~Enter the numner of array elements: 10~~Enter the array elements: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10~~Enter the number of bins: 10~~~~OUTPUT:~~{10 bins with one element each}~~~~ ~~  Mark/s obtained: 2 out of 10~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~reading the numbers and computing the bin limits~~  Mark/s obtained: 15 out of 20~~~~~~FAILED: Code Case 2:~~creating and printing bins~~  Mark/s obtained: 15 out of 20~~~~~~FAILED: Code Case 3:~~counting the number of elements in each bin~~  Mark/s obtained: 10 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 56 ############
22EE30027;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG30028;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
