"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Code_1 (25)";"Code_2 (25)";"Code_3 (-5)";"Code_4 (-5)";"Total_Marks (90)";"Comments"
21ME10100;0;0;0;0;0;0;0;0;0;A file was not submitted properly - Mark/s lost: 90 out of 90!!==============================!!############ TOTAL MARKS OBTAINED = 0 ############
21ME10005;10;10;10;10;25;25;0;0;90;Nice work!!========= TEST CASES =========!!PASSED: Test Case 1: {Input: (12)(34)(56)}!!{Output: "Invalid"!!} - Mark/s : 10!!PASSED: Test Case 2: {Input: (12)(34)(102)}!!{Output: "Obtuse Angled"!!} - Mark/s : 10!!PASSED: Test Case 3: {Input: (01)(10)(00)}!!{Output: "Right Angled"!!} - Mark/s : 10!!PASSED: Test Case 4: {Input: (5623)(9965)(3569)}!!{Output: "Acute Angled"!!} - Mark/s : 10!!========= CODE CASES =========!!PASSED: Code Case 1:- Logic is correct and gives expected output - Mark/s : 25!!PASSED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s : 25!!==============================!!########### TOTAL MARKS OBTAINED = 90 ############
21ME30015;0;0;0;0;0;0;0;0;0;A file was not submitted properly - Mark/s lost: 90 out of 90!!==============================!!############ TOTAL MARKS OBTAINED = 0 ############
21MA10017;10;0;0;0;10;10;0;0;30;========= TEST CASES =========!!PASSED: Test Case 1: {Input: (12)(34)(56)}!!{Output: "Invalid"!!} - Mark/s : 10!!FAILED: Test Case 2: {Input: (12)(34)(102)}!!{Output: "Obtuse Angled"!!} - Mark/s obtained: 0 out of 10!!FAILED: Test Case 3: {Input: (01)(10)(00)}!!{Output: "Right Angled"!!} - Mark/s obtained: 0 out of 10!!FAILED: Test Case 4: {Input: (5623)(9965)(3569)}!!{Output: "Acute Angled"!!} - Mark/s obtained: 0 out of 10!!========= CODE CASES =========!!FAILED: Code Case 1:- Logic is correct and gives expected output - Mark/s obtained: 10 out of 25!!FAILED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s obtained: 10 out of 25!!==============================!!########### TOTAL MARKS OBTAINED = 30 ############
21IM10011;10;10;0;10;25;10;0;0;65;========= TEST CASES =========!!PASSED: Test Case 1: {Input: (12)(34)(56)}!!{Output: "Invalid"!!} - Mark/s : 10!!PASSED: Test Case 2: {Input: (12)(34)(102)}!!{Output: "Obtuse Angled"!!} - Mark/s : 10!!FAILED: Test Case 3: {Input: (01)(10)(00)}!!{Output: "Right Angled"!!} - Mark/s obtained: 0 out of 10!!PASSED: Test Case 4: {Input: (5623)(9965)(3569)}!!{Output: "Acute Angled"!!} - Mark/s : 10!!========= CODE CASES =========!!PASSED: Code Case 1:- Logic is correct and gives expected output - Mark/s : 25!!FAILED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s obtained: 10 out of 25!!==============================!!########### TOTAL MARKS OBTAINED = 65 ############
21ME10024;10;10;0;10;20;20;0;0;70;========= TEST CASES =========!!PASSED: Test Case 1: {Input: (12)(34)(56)}!!{Output: "Invalid"!!} - Mark/s : 10!!PASSED: Test Case 2: {Input: (12)(34)(102)}!!{Output: "Obtuse Angled"!!} - Mark/s : 10!!FAILED: Test Case 3: {Input: (01)(10)(00)}!!{Output: "Right Angled"!!} - Mark/s obtained: 0 out of 10!!PASSED: Test Case 4: {Input: (5623)(9965)(3569)}!!{Output: "Acute Angled"!!} - Mark/s : 10!!========= CODE CASES =========!!FAILED: Code Case 1:- Logic is correct and gives expected output - Mark/s obtained: 20 out of 25!!FAILED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s obtained: 20 out of 25!!==============================!!########### TOTAL MARKS OBTAINED = 70 ############
21IM30007;10;0;0;0;10;10;0;0;30;The question asked to check for "Obtuse right-angled or acute triangle" but you changed the question to our own whim. That is not acceptable!!========= TEST CASES =========!!PASSED: Test Case 1: {Input: (12)(34)(56)}!!{Output: "Invalid"!!} - Mark/s : 10!!FAILED: Test Case 2: {Input: (12)(34)(102)}!!{Output: "Obtuse Angled"!!} - Mark/s obtained: 0 out of 10!!FAILED: Test Case 3: {Input: (01)(10)(00)}!!{Output: "Right Angled"!!} - Mark/s obtained: 0 out of 10!!FAILED: Test Case 4: {Input: (5623)(9965)(3569)}!!{Output: "Acute Angled"!!} - Mark/s obtained: 0 out of 10!!========= CODE CASES =========!!FAILED: Code Case 1:- Logic is correct and gives expected output - Mark/s obtained: 10 out of 25!!FAILED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s obtained: 10 out of 25!!==============================!!########### TOTAL MARKS OBTAINED = 30 ############
21ME10043;10;0;0;0;10;10;0;0;30;========= TEST CASES =========!!PASSED: Test Case 1: {Input: (12)(34)(56)}!!{Output: "Invalid"!!} - Mark/s : 10!!FAILED: Test Case 2: {Input: (12)(34)(102)}!!{Output: "Obtuse Angled"!!} - Mark/s obtained: 0 out of 10!!FAILED: Test Case 3: {Input: (01)(10)(00)}!!{Output: "Right Angled"!!} - Mark/s obtained: 0 out of 10!!FAILED: Test Case 4: {Input: (5623)(9965)(3569)}!!{Output: "Acute Angled"!!} - Mark/s obtained: 0 out of 10!!========= CODE CASES =========!!FAILED: Code Case 1:- Logic is correct and gives expected output - Mark/s obtained: 10 out of 25!!FAILED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s obtained: 10 out of 25!!==============================!!########### TOTAL MARKS OBTAINED = 30 ############
21MA10036;10;10;0;10;20;15;0;0;65;Try to make the code more efficient and write smaller code. One way to do it is to find the max side and swap its value with a. This way you only need to write the checking code once  instead of 3 times.!!========= TEST CASES =========!!PASSED: Test Case 1: {Input: (12)(34)(56)}!!{Output: "Invalid"!!} - Mark/s : 10!!PASSED: Test Case 2: {Input: (12)(34)(102)}!!{Output: "Obtuse Angled"!!} - Mark/s : 10!!FAILED: Test Case 3: {Input: (01)(10)(00)}!!{Output: "Right Angled"!!} - Mark/s obtained: 0 out of 10!!PASSED: Test Case 4: {Input: (5623)(9965)(3569)}!!{Output: "Acute Angled"!!} - Mark/s : 10!!========= CODE CASES =========!!FAILED: Code Case 1:- Logic is correct and gives expected output - Mark/s obtained: 20 out of 25!!FAILED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s obtained: 15 out of 25!!==============================!!########### TOTAL MARKS OBTAINED = 65 ############
21ME10062;0;10;0;0;15;15;0;0;40;========= TEST CASES =========!!FAILED: Test Case 1: {Input: (12)(34)(56)}!!{Output: "Invalid"!!} - Mark/s obtained: 0 out of 10!!PASSED: Test Case 2: {Input: (12)(34)(102)}!!{Output: "Obtuse Angled"!!} - Mark/s : 10!!FAILED: Test Case 3: {Input: (01)(10)(00)}!!{Output: "Right Angled"!!} - Mark/s obtained: 0 out of 10!!FAILED: Test Case 4: {Input: (5623)(9965)(3569)}!!{Output: "Acute Angled"!!} - Mark/s obtained: 0 out of 10!!========= CODE CASES =========!!FAILED: Code Case 1:- Logic is correct and gives expected output - Mark/s obtained: 15 out of 25!!FAILED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s obtained: 15 out of 25!!==============================!!########### TOTAL MARKS OBTAINED = 40 ############
21IM10030;10;10;0;10;20;20;0;0;70;========= TEST CASES =========!!PASSED: Test Case 1: {Input: (12)(34)(56)}!!{Output: "Invalid"!!} - Mark/s : 10!!PASSED: Test Case 2: {Input: (12)(34)(102)}!!{Output: "Obtuse Angled"!!} - Mark/s : 10!!FAILED: Test Case 3: {Input: (01)(10)(00)}!!{Output: "Right Angled"!!} - Mark/s obtained: 0 out of 10!!PASSED: Test Case 4: {Input: (5623)(9965)(3569)}!!{Output: "Acute Angled"!!} - Mark/s : 10!!========= CODE CASES =========!!FAILED: Code Case 1:- Logic is correct and gives expected output - Mark/s obtained: 20 out of 25!!FAILED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s obtained: 20 out of 25!!==============================!!########### TOTAL MARKS OBTAINED = 70 ############
21MA10055;10;10;0;10;20;20;0;0;70;========= TEST CASES =========!!PASSED: Test Case 1: {Input: (12)(34)(56)}!!{Output: "Invalid"!!} - Mark/s : 10!!PASSED: Test Case 2: {Input: (12)(34)(102)}!!{Output: "Obtuse Angled"!!} - Mark/s : 10!!FAILED: Test Case 3: {Input: (01)(10)(00)}!!{Output: "Right Angled"!!} - Mark/s obtained: 0 out of 10!!PASSED: Test Case 4: {Input: (5623)(9965)(3569)}!!{Output: "Acute Angled"!!} - Mark/s : 10!!========= CODE CASES =========!!FAILED: Code Case 1:- Logic is correct and gives expected output - Mark/s obtained: 20 out of 25!!FAILED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s obtained: 20 out of 25!!==============================!!########### TOTAL MARKS OBTAINED = 70 ############
21IE10036;0;0;0;0;0;0;0;0;0;A file was not submitted properly - Mark/s lost: 90 out of 90!!==============================!!############ TOTAL MARKS OBTAINED = 0 ############
21ME10081;0;0;0;0;0;0;0;0;0;A file was not submitted properly - Mark/s lost: 90 out of 90!!==============================!!############ TOTAL MARKS OBTAINED = 0 ############
20IE10039;0;0;0;0;0;0;0;0;0;A file was not submitted properly - Mark/s lost: 90 out of 90!!==============================!!############ TOTAL MARKS OBTAINED = 0 ############
21IM30026;10;10;0;10;20;20;0;0;70;========= TEST CASES =========!!PASSED: Test Case 1: {Input: (12)(34)(56)}!!{Output: "Invalid"!!} - Mark/s : 10!!PASSED: Test Case 2: {Input: (12)(34)(102)}!!{Output: "Obtuse Angled"!!} - Mark/s : 10!!FAILED: Test Case 3: {Input: (01)(10)(00)}!!{Output: "Right Angled"!!} - Mark/s obtained: 0 out of 10!!PASSED: Test Case 4: {Input: (5623)(9965)(3569)}!!{Output: "Acute Angled"!!} - Mark/s : 10!!========= CODE CASES =========!!FAILED: Code Case 1:- Logic is correct and gives expected output - Mark/s obtained: 20 out of 25!!FAILED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s obtained: 20 out of 25!!==============================!!########### TOTAL MARKS OBTAINED = 70 ############
