"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Code_1 (20)";"Code_2 (10)";"Code_3 (10)";"Code_4 (10)";"Code_5 (10)";"Total_Marks (100)";"Comments"
21CS30010;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21CS10078;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG30008;0;0;0;0;20;10;10;0;0;40;Code fails for all test cases.~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~X = 23 11 2022~~Y = 24 11 2022~~~~Exp OUT:~~X = 23/11/2022~~Y = 24/11/2022~~Days = 1~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 2: ~~IN:~~X = 23 11 2020~~Y = 24 11 2022~~~~Exp OUT:~~X = 23/11/2020~~Y = 24/11/2022~~Days = 731 ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 3: ~~IN:~~X = 1 1 2000~~Y = 31 12 2022~~~~Exp OUT:~~X = 01/01/2000~~Y = 31/12/2022~~Days = 8400 ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 4: ~~IN:~~X = 31 1 2020~~Y = 1 1 2020~~~~Exp OUT:~~X = 31/01/2020~~Y = 01/01/2020~~Days = 30~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Defined structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Taken input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~void PrintDate declared~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~void FindDays declared~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Printed the final answer correctly~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 40 ############
22AG10021;0;0;0;0;20;10;10;0;0;40;Code fails for all the test cases.~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~X = 23 11 2022~~Y = 24 11 2022~~~~Exp OUT:~~X = 23/11/2022~~Y = 24/11/2022~~Days = 1~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 2: ~~IN:~~X = 23 11 2020~~Y = 24 11 2022~~~~Exp OUT:~~X = 23/11/2020~~Y = 24/11/2022~~Days = 731 ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 3: ~~IN:~~X = 1 1 2000~~Y = 31 12 2022~~~~Exp OUT:~~X = 01/01/2000~~Y = 31/12/2022~~Days = 8400 ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 4: ~~IN:~~X = 31 1 2020~~Y = 1 1 2020~~~~Exp OUT:~~X = 31/01/2020~~Y = 01/01/2020~~Days = 30~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Defined structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Taken input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~void PrintDate declared~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~void FindDays declared~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Printed the final answer correctly~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 40 ############
22CS10049;0;0;0;0;0;0;0;0;0;0;Completely wrong code submitted.~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~X = 23 11 2022~~Y = 24 11 2022~~~~Exp OUT:~~X = 23/11/2022~~Y = 24/11/2022~~Days = 1~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 2: ~~IN:~~X = 23 11 2020~~Y = 24 11 2022~~~~Exp OUT:~~X = 23/11/2020~~Y = 24/11/2022~~Days = 731 ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 3: ~~IN:~~X = 1 1 2000~~Y = 31 12 2022~~~~Exp OUT:~~X = 01/01/2000~~Y = 31/12/2022~~Days = 8400 ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 4: ~~IN:~~X = 31 1 2020~~Y = 1 1 2020~~~~Exp OUT:~~X = 31/01/2020~~Y = 01/01/2020~~Days = 30~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Defined structure~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 2:~~Taken input~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~void PrintDate declared~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~void FindDays declared~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Printed the final answer correctly~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22MT10042;0;0;0;0;20;0;0;0;0;20;Code didn't compile.~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Defined structure~~  Mark/s obtained: 20 out of 20~~~~~~FAILED: Code Case 2:~~Taken input~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~void PrintDate declared~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~void FindDays declared~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Printed the final answer correctly~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 20 ############
22CS10009;0;0;0;0;20;10;10;5;0;45;Code didn't compile.~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Defined structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Taken input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~void PrintDate declared~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~void FindDays declared~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~Printed the final answer correctly~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 45 ############
22IM30014;10;10;10;10;20;10;10;10;10;100;Good~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Defined structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Taken input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~void PrintDate declared~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~void FindDays declared~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed the final answer correctly~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22EE30027;10;10;10;10;20;10;10;10;10;100;Good~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Defined structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Taken input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~void PrintDate declared~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~void FindDays declared~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed the final answer correctly~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22AG30028;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
