"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Code_1 (10)";"Code_2 (5)";"Code_3 (10)";"Code_4 (15)";"Code_5 (10)";"Code_6 (10)";"Total_Marks (100)";"Comments"
22CS30036;10;10;10;10;10;5;10;15;10;10;100;Keep up the good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read Input (scanf)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Init array using malloc/calloc~~  Mark/s obtained: 5 out of 5~~~~~~PASSED: Code Case 3:~~function to calculate mean defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~recursive implementation of mean~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 5:~~Printed the array~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~printed the mean~~  Mark/s obtained: 10 out of 10~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
22ME10091;10;10;10;10;10;5;10;15;10;10;100;Great Job~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read Input (scanf)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Init array using malloc/calloc~~  Mark/s obtained: 5 out of 5~~~~~~PASSED: Code Case 3:~~function to calculate mean defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~recursive implementation of mean~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 5:~~Printed the array~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~printed the mean~~  Mark/s obtained: 10 out of 10~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
22EC30015;10;10;10;10;10;5;10;15;10;10;100;Keep up the good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read Input (scanf)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Init array using malloc/calloc~~  Mark/s obtained: 5 out of 5~~~~~~PASSED: Code Case 3:~~function to calculate mean defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~recursive implementation of mean~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 5:~~Printed the array~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~printed the mean~~  Mark/s obtained: 10 out of 10~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
22MA10029;10;10;10;10;10;5;10;15;10;10;100;Keep up the good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read Input (scanf)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Init array using malloc/calloc~~  Mark/s obtained: 5 out of 5~~~~~~PASSED: Code Case 3:~~function to calculate mean defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~recursive implementation of mean~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 5:~~Printed the array~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~printed the mean~~  Mark/s obtained: 10 out of 10~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
22EE10056;10;10;10;10;10;5;10;15;10;10;100;Good~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read Input (scanf)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Init array using malloc/calloc~~  Mark/s obtained: 5 out of 5~~~~~~PASSED: Code Case 3:~~function to calculate mean defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~recursive implementation of mean~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 5:~~Printed the array~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~printed the mean~~  Mark/s obtained: 10 out of 10~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
22NA10049;10;10;10;10;10;5;10;15;10;10;100;Good~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read Input (scanf)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Init array using malloc/calloc~~  Mark/s obtained: 5 out of 5~~~~~~PASSED: Code Case 3:~~function to calculate mean defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~recursive implementation of mean~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 5:~~Printed the array~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~printed the mean~~  Mark/s obtained: 10 out of 10~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
22EC30055;10;10;10;10;10;5;10;15;10;10;100;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read Input (scanf)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Init array using malloc/calloc~~  Mark/s obtained: 5 out of 5~~~~~~PASSED: Code Case 3:~~function to calculate mean defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~recursive implementation of mean~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 5:~~Printed the array~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~printed the mean~~  Mark/s obtained: 10 out of 10~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
22MI10040;10;10;10;10;10;5;10;15;10;10;100;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read Input (scanf)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Init array using malloc/calloc~~  Mark/s obtained: 5 out of 5~~~~~~PASSED: Code Case 3:~~function to calculate mean defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~recursive implementation of mean~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 5:~~Printed the array~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~printed the mean~~  Mark/s obtained: 10 out of 10~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
22HS10038;10;10;10;10;10;0;10;15;10;10;95;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read Input (scanf)~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Init array using malloc/calloc~~  Mark/s obtained: 0 out of 5~~~~~~PASSED: Code Case 3:~~function to calculate mean defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~recursive implementation of mean~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 5:~~Printed the array~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~printed the mean~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 95/100 ##########
22ME30069;10;10;10;10;10;5;10;15;10;10;100;Keep up the good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read Input (scanf)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Init array using malloc/calloc~~  Mark/s obtained: 5 out of 5~~~~~~PASSED: Code Case 3:~~function to calculate mean defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~recursive implementation of mean~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 5:~~Printed the array~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~printed the mean~~  Mark/s obtained: 10 out of 10~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
22AG10029;10;10;10;10;10;5;10;15;10;10;100;Perfect~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read Input (scanf)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Init array using malloc/calloc~~  Mark/s obtained: 5 out of 5~~~~~~PASSED: Code Case 3:~~function to calculate mean defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~recursive implementation of mean~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 5:~~Printed the array~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~printed the mean~~  Mark/s obtained: 10 out of 10~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
22MI31014;10;10;10;10;10;5;10;15;10;10;100;Perfect~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read Input (scanf)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Init array using malloc/calloc~~  Mark/s obtained: 5 out of 5~~~~~~PASSED: Code Case 3:~~function to calculate mean defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~recursive implementation of mean~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 5:~~Printed the array~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~printed the mean~~  Mark/s obtained: 10 out of 10~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
22IE10015;10;10;10;10;10;5;10;15;10;10;100;Great Job~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read Input (scanf)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Init array using malloc/calloc~~  Mark/s obtained: 5 out of 5~~~~~~PASSED: Code Case 3:~~function to calculate mean defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~recursive implementation of mean~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 5:~~Printed the array~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~printed the mean~~  Mark/s obtained: 10 out of 10~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
